City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Sungaipenuh,ID,2019-12-29 05:50:18,-2.08,101.38,79.39,67,86,1.34
236,Santa Vitoria Do Palmar,BR,2019-12-29 05:50:18,-33.52,-53.37,71.87,93,100,4.16
237,Pinawa,CA,2019-12-29 05:50:18,50.15,-95.88,19.02,91,100,5.7
238,Phalaborwa,ZA,2019-12-29 05:50:19,-23.95,31.14,71.6,73,50,3.36
239,Padang,ID,2019-12-29 05:48:28,-0.92,100.36,80.11,77,19,2.64
240,Fernley,US,2019-12-29 05:46:25,39.61,-119.25,32.0,79,1,1.45
241,Lakatoro,VU,2019-12-29 05:50:19,-16.11,167.42,82.18,78,1,18.48
242,Taybad,IR,2019-12-29 05:50:19,34.74,60.78,48.72,38,0,5.08
243,Margate,AU,2019-12-29 05:50:20,-43.03,147.26,78.01,56,40,20.8
244,Bilma,NE,2019-12-29 05:50:20,18.69,12.92,52.84,38,0,10.56
245,Laguna,BZ,2019-12-29 05:50:20,16.17,-88.94,65.84,96,10,1.39
246,Kisangani,CD,2019-12-29 05:50:21,0.52,25.21,75.22,80,100,2.57
247,Keti Bandar,PK,2019-12-29 05:50:21,24.14,67.45,71.82,17,0,13.35
248,Lasa,CY,2019-12-29 05:45:58,34.92,32.53,50.0,93,40,6.93
249,Anadyr,RU,2019-12-29 05:50:21,64.73,177.51,-23.01,74,8,17.9
250,Vila Franca Do Campo,PT,2019-12-29 05:50:21,37.72,-25.43,60.8,93,40,10.29
251,Galeana,MX,2019-12-29 05:50:22,24.83,-100.08,46.0,68,69,1.01
252,Katsuura,JP,2019-12-29 05:50:22,33.93,134.5,52.0,57,75,3.36
253,Lagoa,PT,2019-12-29 05:50:22,37.14,-8.45,55.99,87,0,9.17
254,Pekalongan,ID,2019-12-29 05:50:22,-6.89,109.67,86.85,64,87,5.28
255,Ancud,CL,2019-12-29 05:43:31,-41.87,-73.83,48.2,93,1,6.93
256,Lensk,RU,2019-12-29 05:50:23,60.71,114.91,-19.82,90,100,10.89
257,Gagatli,RU,2019-12-29 05:50:23,42.8,46.29,34.18,86,95,2.28
258,Yangjiang,CN,2019-12-29 05:50:23,21.85,111.96,71.01,55,88,1.54
259,Coihaique,CL,2019-12-29 05:50:24,-45.58,-72.07,46.4,81,36,1.12
260,Calbuco,CL,2019-12-29 05:50:24,-41.77,-73.13,50.0,81,0,6.93
261,Kayerkan,RU,2019-12-29 05:50:24,69.35,87.76,-18.4,75,100,4.47
262,Kavaratti,IN,2019-12-29 05:50:24,10.57,72.64,86.0,70,40,4.7
263,Bubaque,GW,2019-12-29 05:50:24,11.28,-15.83,78.08,51,0,12.1
264,Zyryanovsk,KZ,2019-12-29 05:50:25,49.74,84.27,9.41,58,100,1.34
265,Shingu,JP,2019-12-29 05:50:25,33.72,135.99,53.6,58,75,2.24
266,Sinfra,CI,2019-12-29 05:50:25,6.62,-5.91,68.0,88,57,5.99
267,Bloomington,US,2019-12-29 05:50:25,40.47,-88.99,59.0,100,90,23.04
268,Pevek,RU,2019-12-29 05:45:23,69.7,170.27,-10.14,92,89,7.85
269,Isla Mujeres,MX,2019-12-29 05:50:26,21.23,-86.73,73.4,83,5,5.82
270,Biak,ID,2019-12-29 05:45:48,-0.91,122.88,84.9,75,100,14.74
271,Georgetown,GY,2019-12-29 05:50:26,6.8,-58.16,73.4,100,40,4.7
272,Soe,EE,2019-12-29 05:50:27,57.91,26.05,24.8,79,67,4.7
273,Shumskiy,RU,2019-12-29 05:50:27,54.83,99.13,-12.93,84,0,7.47
274,Luba,PH,2019-12-29 05:50:27,17.32,120.7,84.18,69,0,7.4
275,Sao Miguel Do Araguaia,BR,2019-12-29 05:50:27,-13.28,-50.16,71.08,98,100,3.71
276,Asyut,EG,2019-12-29 05:49:46,27.18,31.19,50.9,45,0,4.76
277,Maceio,BR,2019-12-29 05:50:28,-9.67,-35.74,75.2,88,20,2.24
278,Tiblawan,PH,2019-12-29 05:50:28,6.48,126.11,80.58,69,62,4.74
279,Talnakh,RU,2019-12-29 05:50:28,69.49,88.39,-18.4,75,100,4.47
280,Tramore,IE,2019-12-29 05:50:28,52.16,-7.15,52.0,99,100,8.01
281,Whitehorse,CA,2019-12-29 05:50:29,60.72,-135.06,30.2,68,90,14.99
282,Nanortalik,GL,2019-12-29 05:50:29,60.14,-45.24,30.52,84,100,14.97
283,Haines Junction,CA,2019-12-29 05:50:29,60.75,-137.51,14.61,92,48,8.59
284,Melton,AU,2019-12-29 05:50:29,-37.68,144.58,100.99,38,19,16.11
285,Saint-Francois,FR,2019-12-29 05:50:30,46.42,3.91,33.8,95,72,8.05
286,Westport,US,2019-12-29 05:48:02,41.14,-73.36,44.01,74,1,3.36
287,Tefe,BR,2019-12-29 05:50:30,-3.35,-64.71,74.88,98,100,1.16
288,Ballina,IE,2019-12-29 05:50:30,54.11,-9.15,55.99,86,100,11.99
289,Tiznit,MA,2019-12-29 05:50:30,29.7,-9.73,55.33,23,0,5.82
290,Kahului,US,2019-12-29 05:50:31,20.89,-156.47,77.0,73,1,14.0
291,Howell,US,2019-12-29 05:50:31,40.17,-74.19,43.0,86,1,3.36
292,Antalaha,MG,2019-12-29 05:50:31,-14.9,50.28,80.92,79,81,11.95
